station,horizon,persistence,actual_events,predicted_events,matched_events,false_alarms,missed_events,event_precision,event_recall,event_f1,onset_error_hours,onset_error_hours_n,peak_error_hours,peak_error_hours_n,duration_error_hours,duration_error_hours_n,recovery_error_hours,recovery_error_hours_n
Pusa Delhi DPCC,6,6,25,28,21,7,4,0.75,0.84,0.7924528301886793,8.125,16,11.238095238095237,21,4.166666666666667,12,6.8,15
Pusa Delhi DPCC,12,2,80,58,40,18,40,0.6896551724137931,0.5,0.5797101449275363,7.0,25,8.05,40,6.071428571428571,14,4.95,20
Pusa Delhi DPCC,12,3,63,49,34,15,29,0.6938775510204082,0.5396825396825397,0.6071428571428572,7.863636363636363,22,9.323529411764707,34,6.538461538461538,13,5.705882352941177,17
Pusa Delhi DPCC,12,6,29,36,25,11,4,0.6944444444444444,0.8620689655172413,0.7692307692307692,10.76923076923077,13,11.64,25,6.111111111111111,9,6.769230769230769,13
Pusa Delhi DPCC,24,2,84,54,43,11,41,0.7962962962962963,0.5119047619047619,0.6231884057971014,5.913043478260869,23,6.232558139534884,43,3.1538461538461537,13,4.217391304347826,23
Pusa Delhi DPCC,24,3,66,47,37,10,29,0.7872340425531915,0.5606060606060606,0.6548672566371682,6.7,20,7.054054054054054,37,3.7,10,5.294117647058823,17
Pusa Delhi DPCC,24,6,36,28,24,4,12,0.8571428571428571,0.6666666666666666,0.75,11.090909090909092,11,9.875,24,1.8333333333333333,6,4.818181818181818,11
R K Puram Delhi DPCC,1,2,100,88,80,8,20,0.9090909090909091,0.8,0.8510638297872342,1.6875,64,2.95,80,2.7142857142857144,56,1.4090909090909092,66
R K Puram Delhi DPCC,1,3,83,75,68,7,15,0.9066666666666666,0.8192771084337349,0.8607594936708859,1.8,55,3.3088235294117645,68,3.021276595744681,47,1.462962962962963,54
R K Puram Delhi DPCC,1,6,54,49,47,2,7,0.9591836734693877,0.8703703703703703,0.912621359223301,1.9189189189189189,37,4.170212765957447,47,3.6451612903225805,31,1.8571428571428572,35
R K Puram Delhi DPCC,6,2,103,68,53,15,50,0.7794117647058824,0.5145631067961165,0.6198830409356724,8.441176470588236,34,7.773584905660377,53,13.214285714285714,28,4.352941176470588,34
R K Puram Delhi DPCC,6,3,85,56,49,7,36,0.875,0.5764705882352941,0.6950354609929078,8.838709677419354,31,8.204081632653061,49,13.96,25,4.516129032258065,31
R K Puram Delhi DPCC,6,6,51,35,32,3,19,0.9142857142857143,0.6274509803921569,0.7441860465116279,10.25,24,11.0,32,15.894736842105264,19,5.130434782608695,23
R K Puram Delhi DPCC,12,2,103,66,50,16,53,0.7575757575757576,0.4854368932038835,0.591715976331361,7.675675675675675,37,6.12,50,13.392857142857142,28,5.4,30
R K Puram Delhi DPCC,12,3,86,63,47,16,39,0.746031746031746,0.5465116279069767,0.6308724832214765,8.117647058823529,34,6.319148936170213,47,14.64,25,5.814814814814815,27
R K Puram Delhi DPCC,12,6,52,41,34,7,18,0.8292682926829268,0.6538461538461539,0.7311827956989247,11.347826086956522,23,7.911764705882353,34,19.176470588235293,17,6.444444444444445,18
R K Puram Delhi DPCC,24,2,100,67,49,18,51,0.7313432835820896,0.49,0.5868263473053892,7.75,32,4.653061224489796,49,7.7727272727272725,22,5.464285714285714,28
